"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1087353.18576482,-2086724.65558707,2013-12-09 06:40:00,"MET.K10",39,39
1087477.85259016,-2087138.05527436,2013-12-09 07:40:00,"MET.K10",25,25
1087559.22226096,-2086907.14805361,2013-12-09 17:40:00,"MET.K10",33,33
1087905.87243078,-2086882.83433219,2013-12-09 18:40:00,"MET.K10",32,32
1087850.0068071,-2087312.80166274,2013-12-09 19:39:00,"MET.K10",25,25
1086837.98843565,-2086721.45946128,2013-12-10 08:45:00,"MET.K10",27,27
1087090.83183399,-2086818.32932204,2013-12-10 09:45:00,"MET.K10",29,29
1087405.72699183,-2086906.03435691,2013-12-10 10:46:00,"MET.K10",31,31
1087409.25364705,-2086906.14508995,2013-12-10 11:46:00,"MET.K10",31,31
1087259.61281843,-2086838.44913727,2013-12-10 12:46:00,"MET.K10",27,27
1087470.02786679,-2086600.4754916,2013-12-10 13:46:00,"MET.K10",35,35
1087849.14787546,-2086834.7292645,2013-12-10 14:45:00,"MET.K10",31,31
1087567.90072179,-2087024.15208865,2013-12-10 15:45:00,"MET.K10",32,32
1087196.8446366,-2086982.85599308,2013-12-10 16:46:00,"MET.K10",26,26
1103440.00845122,-2097179.97496367,2013-12-22 18:26:00,"MET.K10",21,21
1125654.59424852,-2090350.74475578,2012-11-02 13:56:00,"MET.K2",21,21
1118775.73399519,-2080099.82366839,2012-11-04 13:57:00,"MET.K2",60,60
1119472.64115451,-2099508.69711251,2012-11-08 22:05:00,"MET.K2",36,36
1119061.06250365,-2099574.70512778,2012-11-10 10:05:00,"MET.K2",40,40
1119115.54389881,-2099528.31863593,2012-11-13 02:05:00,"MET.K2",41,41
1119013.47221326,-2099573.12059399,2012-11-17 14:06:00,"MET.K2",38,38
1122199.77955327,-2090391.09593058,2012-12-28 16:32:00,"MET.K2",23,23
1119028.59575909,-2099595.87070208,2012-12-29 20:32:00,"MET.K2",39,39
1123532.53066082,-2112528.14873947,2012-12-30 20:32:00,"MET.K2",33,33
1123517.60463282,-2112447.9210121,2013-01-23 00:33:00,"MET.K2",33,33
1123905.57199307,-2112448.04250134,2013-01-23 20:33:00,"MET.K2",27,27
1117557.35780019,-2065904.40410295,2013-11-01 11:24:00,"MET.K2",74,74
1117290.58256759,-2066279.42002844,2013-11-01 16:11:00,"MET.K2",74,74
1117332.1768418,-2066575.52145746,2013-11-01 17:11:00,"MET.K2",66,66
